team,opponent,home_away,round,date,status,goals_for,goals_against,total_shots,shots_on_target,fouls,offsides,goal_kicks,throw_ins,hit_woodwork,yellow_cards,red_cards,total_cards,corners,opp_total_shots,opp_shots_on_target,opp_fouls,opp_offsides,opp_goal_kicks,opp_throw_ins,opp_hit_woodwork,opp_yellow_cards,opp_red_cards,opp_total_cards,opp_corners
Lyon,Montpellier,home,16,2025-01-04 20:00:00,Ended,1,0,12,2,8,1,7,19,0,1,0,1,3,16,6,10,0,7,30,1,2,0,2,5
Lyon,Stade Brestois,away,17,2025-01-11 16:00:00,Ended,1,2,10,3,10,2,3,17,0,2,0,2,7,11,6,10,2,7,15,1,1,0,1,4
Lyon,Toulouse,home,18,2025-01-18 20:05:00,Ended,0,0,11,3,8,2,5,17,0,1,0,1,8,13,4,8,3,8,15,0,0,0,0,5
Lyon,Nantes,away,19,2025-01-26 16:15:00,Ended,1,1,15,4,11,3,4,15,1,1,0,1,8,7,5,14,2,7,16,0,3,0,3,4
Lyon,Olympique de Marseille,away,20,2025-02-02 19:45:00,Ended,2,3,10,4,10,2,10,13,0,1,0,1,2,20,11,13,0,4,11,0,4,0,4,6
Lyon,Stade de Reims,home,21,2025-02-09 14:00:00,Ended,4,0,15,9,10,0,6,12,0,2,0,2,6,9,2,12,0,5,15,0,2,1,3,6
Lyon,Montpellier,away,22,2025-02-16 14:00:00,Ended,4,1,9,6,12,0,10,21,0,1,0,1,4,11,4,14,2,3,19,0,3,0,3,7
Lyon,Paris Saint-Germain,home,23,2025-02-23 19:45:00,Ended,2,3,14,7,12,4,8,11,0,1,0,1,5,15,8,8,1,4,15,0,1,0,1,4
Lyon,Stade Brestois,home,24,2025-03-02 14:00:00,Ended,2,1,10,4,16,0,7,22,0,2,0,2,2,15,5,12,2,9,12,0,1,0,1,5
Lyon,Nice,away,25,2025-03-09 19:45:00,Ended,2,0,8,5,11,0,8,18,0,2,0,2,2,18,4,12,0,4,17,1,1,0,1,9
Lyon,Le Havre,home,26,2025-03-16 14:00:00,Ended,4,2,16,7,20,2,6,18,1,2,0,2,4,14,5,12,0,6,11,0,3,0,3,1
Lyon,RC Strasbourg,away,27,2025-03-28 19:45:00,Ended,2,4,16,11,15,2,3,16,1,2,0,2,5,14,7,12,0,5,19,0,2,0,2,6
Lyon,Lille,home,28,2025-04-05 19:05:00,Ended,2,1,10,4,15,1,3,17,0,3,0,3,1,10,4,14,1,5,15,0,2,0,2,3
Lyon,Auxerre,away,29,2025-04-13 18:45:00,Ended,3,1,13,7,9,5,11,15,1,2,0,2,6,14,3,11,1,7,14,0,3,0,3,3
Lyon,Saint-Étienne,away,30,2025-04-20 18:45:00,Ended,1,2,14,2,13,3,8,24,2,4,0,4,6,18,6,12,2,4,14,1,3,0,3,8
Lyon,Stade Rennais,home,31,2025-04-26 19:05:00,Ended,4,1,14,8,12,7,7,14,2,0,0,0,7,10,4,8,2,3,19,0,0,0,0,2
Lyon,RC Lens,home,32,2025-05-04 15:15:00,Ended,1,2,18,4,8,1,4,26,0,2,0,2,8,8,3,12,0,17,13,0,3,0,3,2
Lyon,AS Monaco,away,33,2025-05-10 19:00:00,Ended,0,2,9,4,18,3,8,14,0,4,0,4,5,11,5,16,0,3,14,0,2,0,2,3
Lyon,Angers,home,34,2025-05-17 19:00:00,Ended,2,0,21,4,10,1,3,15,2,1,0,1,8,13,3,13,0,12,11,0,3,0,3,8
PSG,Le Havre,away,1,2024-08-16 18:45:00,Ended,4,1,15,10,9,1,4,21,2,0,0,0,8,5,2,11,1,6,13,0,3,0,3,2
PSG,Montpellier,home,2,2024-08-23 18:45:00,Ended,6,0,27,11,11,0,7,11,0,1,0,1,10,8,3,17,2,13,9,0,4,0,4,2
PSG,Lille,away,3,2024-09-01 18:45:00,Ended,3,1,11,7,9,2,8,19,0,2,0,2,1,8,4,9,5,4,15,1,3,0,3,3
PSG,Stade Brestois,home,4,2024-09-14 19:00:00,Ended,3,1,22,9,7,3,2,25,0,2,0,2,9,5,3,13,1,8,11,0,3,0,3,1
PSG,Stade de Reims,away,5,2024-09-21 19:00:00,Ended,1,1,11,4,6,1,6,17,0,1,0,1,5,8,1,11,1,12,7,0,2,0,2,3
PSG,Stade Rennais,home,6,2024-09-27 19:00:00,Ended,3,1,23,8,12,5,4,12,2,2,0,2,6,12,5,13,1,8,18,0,3,0,3,4
PSG,Nice,away,7,2024-10-06 18:45:00,Ended,1,1,19,8,9,1,4,11,1,2,0,2,15,9,3,7,2,7,11,0,1,0,1,5
PSG,RC Strasbourg,home,8,2024-10-19 19:00:00,Ended,4,2,18,10,10,2,3,10,1,2,0,2,5,16,8,12,1,4,20,0,2,0,2,5
PSG,Olympique de Marseille,away,9,2024-10-27 19:45:00,Ended,3,0,19,8,7,8,5,8,0,0,0,0,2,5,1,4,2,13,15,0,1,1,2,1
PSG,RC Lens,home,10,2024-11-02 16:00:00,Ended,1,0,18,8,3,2,8,13,1,1,0,1,7,13,2,20,3,10,7,0,4,1,5,4
PSG,Angers,away,11,2024-11-09 20:00:00,Ended,4,2,26,12,16,0,7,13,1,3,0,3,8,10,3,5,3,12,6,0,0,0,0,6
PSG,Toulouse,home,12,2024-11-22 20:00:00,Ended,3,0,17,8,11,2,6,14,0,1,0,1,7,11,2,14,0,5,20,0,2,0,2,5
PSG,Nantes,home,13,2024-11-30 20:00:00,Ended,1,1,24,10,3,1,4,27,1,0,0,0,9,5,2,6,2,10,10,0,0,0,0,3
PSG,Auxerre,away,14,2024-12-06 20:00:00,Ended,0,0,24,11,7,4,4,24,1,1,0,1,15,6,2,8,3,10,17,0,2,0,2,3
PSG,Olympique Lyonnais,home,15,2024-12-15 19:45:00,Ended,3,1,13,6,7,2,3,20,0,2,0,2,4,7,3,8,3,6,11,0,3,0,3,3
PSG,AS Monaco,away,16,2024-12-18 20:00:00,Ended,4,2,17,12,11,1,7,26,2,0,0,0,9,15,5,11,3,5,12,0,2,0,2,1
PSG,Saint-Étienne,home,17,2025-01-12 19:45:00,Ended,2,1,25,9,16,2,2,19,0,1,0,1,7,8,3,11,0,10,16,0,2,0,2,3
PSG,RC Lens,away,18,2025-01-18 16:00:00,Ended,2,1,9,7,8,0,1,25,0,3,0,3,1,10,5,12,5,2,18,0,1,0,1,6
PSG,Stade de Reims,home,19,2025-01-25 20:05:00,Ended,1,1,18,7,13,0,6,19,1,2,0,2,8,6,3,13,3,11,10,0,2,0,2,1
PSG,Stade Brestois,away,20,2025-02-01 16:00:00,Ended,5,2,14,7,12,0,4,12,1,0,0,0,7,14,7,9,3,7,16,0,1,0,1,4
PSG,AS Monaco,home,21,2025-02-07 20:05:00,Ended,4,1,16,7,9,1,6,19,0,1,0,1,1,9,3,11,5,9,15,0,0,0,0,1
PSG,Toulouse,away,22,2025-02-15 20:05:00,Ended,1,0,20,6,6,1,8,16,3,0,0,0,2,14,4,9,1,13,13,0,2,0,2,5
PSG,Olympique Lyonnais,away,23,2025-02-23 19:45:00,Ended,3,2,15,8,8,1,4,15,0,1,0,1,4,14,7,12,4,8,11,0,1,0,1,5
PSG,Lille,home,24,2025-03-01 20:05:00,Ended,4,1,26,11,6,3,4,17,0,0,0,0,9,6,2,10,0,9,11,0,2,0,2,3
PSG,Stade Rennais,away,25,2025-03-08 16:00:00,Ended,4,1,19,9,6,0,2,24,0,4,0,4,2,13,3,11,1,11,23,1,1,0,1,3
PSG,Olympique de Marseille,home,26,2025-03-16 19:45:00,Ended,3,1,16,5,7,4,7,12,1,1,0,1,5,11,2,9,4,8,16,0,0,0,0,5
PSG,Saint-Étienne,away,27,2025-03-29 18:00:00,Ended,6,1,22,10,12,0,5,16,1,0,0,0,6,11,2,9,1,7,20,0,2,0,2,3
PSG,Angers,home,28,2025-04-05 15:00:00,Ended,1,0,20,6,7,1,3,18,0,0,0,0,5,4,0,12,4,10,5,0,3,0,3,1
PSG,Nantes,away,29,2025-04-13 15:00:00,Postponed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSG,Nantes,away,29,2025-04-22 18:45:00,Ended,1,1,10,5,9,1,3,16,1,0,0,0,4,8,2,5,1,8,21,0,2,0,2,4
PSG,Le Havre,home,30,2025-04-19 15:00:00,Ended,2,1,18,11,7,1,9,20,0,0,0,0,7,9,1,10,0,5,9,0,0,0,0,3
PSG,Nice,home,31,2025-04-25 18:45:00,Ended,1,3,32,13,9,0,2,19,0,3,0,3,17,7,3,11,2,11,12,0,1,0,1,0
PSG,RC Strasbourg,away,32,2025-05-03 15:00:00,Ended,1,2,20,4,13,3,3,20,0,2,0,2,2,9,2,14,4,9,12,0,1,0,1,6
PSG,Montpellier,away,33,2025-05-10 19:00:00,Ended,4,1,10,8,11,0,2,10,1,1,0,1,4,9,4,14,1,6,13,0,1,0,1,5
PSG,Auxerre,home,34,2025-05-17 19:00:00,Ended,3,1,21,9,10,1,3,12,2,1,0,1,5,7,2,9,1,10,8,0,2,0,2,2
